Review,Sentimen
"skintific cushion ter-paling gampang diblend, paling coverage, gooongg banget buat sensitif-combi/dry skiiinn!! ",Positive
"skintific cushion kalo dipake pas jerawatan parah ini bagus sih ga bikin jerawat makin meradang, makannya cocok bgt buat sensitif skin. minim oksidasi bgtt!!👍🏼👍🏼",Positive
"untuk cushion 90ribuan, ini cukup blendable, teksturnya lumayan padet creamy gitu, bukan yang cairrr.",Neutral
"finishnya semi matte, jujur aku sukaaa banget finishnya, bikin kulit aku ga parah minyakannya. oil controlnyaaa bagus!",Positive
"lately aku lagi ngelengkapin cushion, dan ternyata kerasa deh bedanya. mariii kita sharing perbedaan dan mulus-minusnyaaa, ada cushion favorit kalian gaa disiniii??",Neutral
"cushion ini ga akan geser seharian kalo ga dikenain air, kalo kena air lumayan luntur. ",Neutral
"kl kena air, kehujanan gitu wajib bgt touchup. tapi, kalo seharian cm panas, sepay-sepoy nii bagus bgt!!✨✨",Positive
minus cukup oksidasi tapi ga paraah kok!,Neutral
tekstur cushionnya cukup cair-cream jadi gampang banget diblend!,Positive
"finishnya semi-matte tp aku ngerasa sedikit lebih dewy siihh. cakeep bgt, ga longsorr juga sehariaann! oil controlnyaa oke. minim oksidasi bgt🥺👍🏼",Positive
"tahan seharian, cuma pilihan shadenya masih kurang buat kulit medium-light huhu. lil bit pricey💸",Neutral
"ga gampang luntur, ini paling tahan banting, minim crack, cuma jadi berminyak banget aja",Neutral
finish dewy dan minusnya tuh kurang banget oil controlnya… :(,Neutral
"plus emang cukup pricey ya, tapi kalo tipe kulitnya emang sensitif-combi & sensitif-dry ini bagus!",Positive
"tbh aku lebih suka copy paste karena hasilnya semi-matte gitu, nahan minyaknya ga beda jauh, walaupun lebih tahan minyak dan lebih matte yang hooman.",Positive
"kecuali lagi harus panas-panasan banyak aktifitas, preferably hooman!✨",Neutral
"yup, cukup lumayan oksidasi, wajib banget naikin satu tingkat. sedikit agak kurang blendable di beberapa spot",Neutral
"oil control keduanyaa sangatt okeee, ini cushion murah-mahal deh ya, tahaan seharian aman kok!",Positive
"semua cushion ini di aku jujur nyatu-nyatu aja sama kulit, ga ada rasa kepisah, atau jd ada pembatas antara muka dan cushion. semuanya blend naturally!",Neutral
skintific cushion semuanya di aku tahan lama!!! awettt,Neutral
share dong favorit cushion skintific kaliannn!! sama aku harus coba apalagi yaahh!??,Neutral
So i comparekan cushion and serum foundation skintific ni masa freshly applied and after 1 hour,Neutral
"Skintific's Cushion Foundation, or Serum Founation lagi better?",Neutral
Now I dah faham kenapa Daiyan Trisha approved Skintific New Matte Cushion ,Neutral
If you're looking for cushion foundation yg bagi effect macam dah set with loose powder but tak cakey please try this cushion 💯,Neutral
This Skintific Blue Cushion walaupun matte finish tapi very easy to blend! Yang i paling suka dia less oxidize than the gold one so no worries 🥰,Neutral
"Reminder : Kalau nak beli skintific cushion, please pilih one shade lighter!",Neutral
Korang tahu tak macamana nak tahu kita punya undertones? Boleh refer dekat gambar ni. Cushion skintific foundation ni ada 7 shades.,Neutral
Kalau tanya i worth it ke tak beli cushion ni. Sumpah worth it! Nak habis dah pun i punya sbb pakai tiap kali keluar.,Positive
"Hi, maaf nak tumpang post🙏🏽 nk letgo skintific cushion code Beige.",Neutral
pertama make skintific cushion ga abu abu kah kak krn make yg lebih terang,Neutral
Skintific Cushion ni memamg da bomb ! i pakai 1 layer je pun dah cantik + buat kulit i nampak sekata 🫶🏻,Positive
